snr,rep,MSE
3.0,88,8.940967679617499
3.0,89,4.857825174903884
3.0,90,6.723137408472552
3.0,91,10.20533247362083
3.0,92,9.276306624742398
3.0,93,5.509476465048634
3.0,94,12.69009020710829
3.0,95,5.720499768883785
3.0,96,7.231756074976915
3.0,97,6.529750855016778
3.0,98,3.2275612809313197
3.0,99,6.842619014592794
