assignment,label,rep,MSE
trig,Trigonometric,27,4.810665854398125
trig,Trigonometric,28,4.06181993084915
trig,Trigonometric,29,6.312903408454674
trig,Trigonometric,30,3.5519743793760554
trig,Trigonometric,31,4.284857705558756
trig,Trigonometric,32,3.879048004314107
trig,Trigonometric,33,5.812691456269933
trig,Trigonometric,34,3.8800840582018457
trig,Trigonometric,35,5.314602531860315
trig,Trigonometric,36,3.4430599203198837
trig,Trigonometric,37,2.5705262277277146
trig,Trigonometric,38,5.647375063286339
trig,Trigonometric,39,3.621216715048591
trig,Trigonometric,40,3.369152277076924
trig,Trigonometric,41,8.731725532468491
trig,Trigonometric,42,4.177979036737561
trig,Trigonometric,43,3.2746336537455827
trig,Trigonometric,44,5.5872505719361305
trig,Trigonometric,45,7.373508984986047
trig,Trigonometric,46,5.898927645379165
trig,Trigonometric,47,2.9851916611257105
trig,Trigonometric,48,4.648150474881404
trig,Trigonometric,49,8.031671044759973
trig,Trigonometric,50,3.999721995516249
trig,Trigonometric,51,5.173403787524388
trig,Trigonometric,52,2.97110029070297
trig,Trigonometric,53,4.331388978322913
trig,Trigonometric,54,7.0578415923828395
trig,Trigonometric,55,6.535912924672574
trig,Trigonometric,56,10.093563316475077
trig,Trigonometric,57,5.705163655310361
trig,Trigonometric,58,8.930185639626654
trig,Trigonometric,59,5.752849299162926
trig,Trigonometric,60,4.887709561617831
trig,Trigonometric,61,5.553477117856391
trig,Trigonometric,62,7.133887508515168
trig,Trigonometric,63,5.478747464187636
trig,Trigonometric,64,5.326031739588506
trig,Trigonometric,65,8.11972999895242
trig,Trigonometric,66,3.6647321366847003
trig,Trigonometric,67,5.520275940398549
trig,Trigonometric,68,6.574681075655561
trig,Trigonometric,69,3.5899390869218464
trig,Trigonometric,70,4.2750745807549
trig,Trigonometric,71,6.957822065273093
trig,Trigonometric,72,5.546277672956914
trig,Trigonometric,73,8.122904206982515
trig,Trigonometric,74,4.692327660350122
trig,Trigonometric,75,3.039925638766446
